CarId, Blue1, Yellow1, Green1, Red1, Blue2, Yellow2, Green2, Red2
82 ,  0.048966000000000065 ,  -0.04781000000000013 ,  0.035838000000000036 ,  -0.03699399999999997 ,   ,   ,   ,  
83 ,  -0.0032680000000002707 ,  -0.0626199999999999 ,  0.020227999999999913 ,  0.04565999999999981 ,   ,   ,   ,  
84 ,  -0.0010709999999996 ,  0.05246100000000009 ,  -0.018590999999999802 ,  -0.0327989999999998 ,   ,   ,   ,  
85 ,  0.10742399999999996 ,  0.2277 ,  -0.39960400000000007 ,  0.06448000000000009 ,   ,   ,   ,  
86 ,  0.011918999999999791 ,  0.0005310000000000592 ,  0.003807000000000116 ,  -0.016256999999999966 ,   ,   ,   ,  
87 ,  0.07374199999999975 ,  0.09250599999999976 ,  -0.07335000000000003 ,  -0.09289799999999993 ,   ,   ,   ,  
88 ,  -0.005470000000000308 ,  -0.0007340000000000124 ,  -0.008950000000000014 ,  0.01515399999999989 ,   ,   ,   ,  
89 ,  0.07273400000000008 ,  0.08191000000000015 ,  -0.15171400000000013 ,  -0.002930000000000099 ,   ,   ,   ,  
90 ,  0.04483100000000029 ,  0.0007550000000002832 ,  -0.011884999999999923 ,  -0.03370099999999976 ,   ,   ,   ,  
91 ,  0.2275689999999999 ,  -0.058171000000000195 ,  -0.06314300000000017 ,  -0.10625499999999999 ,   ,   ,   ,  
92 ,  -0.02321799999999996 ,  0.03692999999999991 ,  -0.06184199999999995 ,  0.048130000000000006 ,   ,   ,   ,  
93 ,  -0.006917999999999758 ,  -0.030285999999999813 ,  0.016618000000000244 ,  0.020586000000000215 ,   ,   ,   ,  
94 ,  0.006549999999999834 ,  0.002597999999999434 ,  -0.0024020000000004593 ,  -0.006746000000000141 ,   ,   ,   ,  
95 ,  0.04314299999999971 ,  0.030675000000000008 ,  -0.04487299999999994 ,  -0.02894500000000022 ,   ,   ,   ,  
96 ,  -0.08503499999999997 ,  -0.11787100000000006 ,  -0.10930700000000027 ,  0.0033409999999998163 ,  0.11594099999999985 ,  0.025389000000000106 ,  0.08696899999999985 ,  0.08057299999999978
97 ,  -0.13298599999999938 ,  -0.00927399999999956 ,  0.1410900000000006 ,  0.038982000000000294 ,  0.14373400000000025 ,  0.1416460000000006 ,  -0.1911539999999996 ,  -0.13203799999999966
98 ,  -9.999999996956888e-7 ,  0.009687000000000445 ,  -0.006152999999999853 ,  -0.014600999999999864 ,  0.008391000000000481 ,  -0.009860999999999454 ,  -0.0005849999999996136 ,  0.013123000000000218
99 ,  -0.030322499999999586 ,  -0.04583449999999978 ,  -0.031190499999999677 ,  -0.036426499999999695 ,  0.039325500000000346 ,  0.0744735000000003 ,  0.02477750000000034 ,  0.00519750000000041
100 ,  -0.0016060000000002184 ,  -0.021626000000000367 ,  -0.008926000000000212 ,  -0.004094000000000264 ,  0.01574999999999971 ,  0.004605999999999444 ,  0.007301999999999698 ,  0.008593999999999546
101 ,  -0.07444300000000004 ,  -0.0916509999999997 ,  -0.08826299999999998 ,  -0.09310699999999983 ,  0.07858900000000002 ,  0.09712900000000024 ,  0.08625700000000025 ,  0.08548900000000037
102 ,  -0.10574549999999983 ,  -0.12612949999999978 ,  -0.08515749999999978 ,  -0.15252949999999954 ,  0.12552650000000032 ,  0.12455050000000023 ,  0.10510650000000021 ,  0.11437850000000038
103 ,  0.1497474999999997 ,  0.14736349999999998 ,  0.13917149999999978 ,  0.18134749999999977 ,  -0.1453685 ,  -0.16151250000000017 ,  -0.15846050000000034 ,  -0.15228850000000005
104 ,  0.010358999999999785 ,  -0.009573000000000498 ,  -0.0028930000000002565 ,  0.002106999999999637 ,   ,   ,   ,  
105 ,  0.004789000000000154 ,  0.0034450000000001424 ,  -0.003230999999999984 ,  -0.005002999999999869 ,   ,   ,   ,  
106 ,  -0.013770999999999756 ,  -0.009415000000000173 ,  0.017525000000000013 ,  0.005660999999999916 ,   ,   ,   ,  
107 ,  0.008535999999999877 ,  -0.0031360000000000277 ,  -0.000568000000000346 ,  -0.0048319999999999474 ,   ,   ,   ,  
108 ,  -0.08017300000000027 ,  -0.1301610000000002 ,  -0.199697 ,  0.41003100000000003 ,   ,   ,   ,  
109 ,  -0.10968 ,  0.10740399999999983 ,  -0.04553200000000013 ,  0.04780799999999985 ,   ,   ,   ,  
